City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
65,fate,32.9415,-96.3814,15.5,65,0,5.14,US,1707157805
66,ceeldheer,3.8488,47.1806,27.180000000000007,60,99,7.27,SO,1707157963
67,buka,40.8108,69.1986,5.970000000000027,41,100,2.16,UZ,1707157963
68,tolanaro,-25.0319,46.9987,24.04000000000002,88,75,9.26,MG,1707157964
69,olonkinbyen,70.9221,-8.7187,-1.0600000000000023,95,100,9.88,SJ,1707157964
70,port elizabeth,-33.918,25.5701,21.840000000000032,92,100,3.6,ZA,1707157964
71,bubaque,11.2833,-15.8333,26.74000000000001,75,0,6.75,GW,1707157964
72,susuman,62.7833,148.1667,-28.899999999999977,89,100,1.34,RU,1707157964
73,vernon,50.2581,-119.2691,1.5300000000000296,84,100,0.51,CA,1707157964
74,antsiranana,-12.2787,49.2917,24.79000000000002,93,31,2.42,MG,1707157965
75,qinzhou,21.95,108.6167,14.29000000000002,89,100,2.46,CN,1707157965
76,hirara,24.8,125.2833,17.920000000000016,82,100,9.26,JP,1707157965
77,punta arenas,-53.15,-70.9167,14.060000000000002,47,20,12.86,CL,1707157768
78,nishinoomote,30.7333,131.0,14.720000000000027,70,0,11.73,JP,1707157965
79,sandnessjoen,66.0217,12.6316,-3.9399999999999977,93,40,2.06,NO,1707157965
80,moab,38.5733,-109.5498,8.03000000000003,32,15,2.75,US,1707157955
81,abu zabad,12.35,29.25,21.210000000000036,16,9,7.61,SD,1707157965
82,grand-lahou,5.1367,-5.0242,28.120000000000005,77,2,4.27,CI,1707157965
83,zheleznogorsk-ilimskiy,56.5768,104.1217,-8.129999999999995,87,100,3.58,RU,1707157966
84,utrik,11.2278,169.8474,26.410000000000025,82,14,8.86,MH,1707157960
85,queenstown,-31.8976,26.8753,20.5,71,2,2.05,ZA,1707157966
86,bredasdorp,-34.5322,20.0403,22.620000000000005,71,0,3.4,ZA,1707157966
87,kidal,18.4411,1.4078,20.060000000000002,12,100,4.73,ML,1707157966
88,port lincoln,-34.7333,135.8667,14.670000000000016,67,0,5.07,AU,1707157965
89,punta del este,-34.9667,-54.95,29.060000000000002,71,75,7.72,UY,1707157967
90,ribeira grande,38.5167,-28.7,18.220000000000027,94,75,8.05,PT,1707157967
91,hilo,19.7297,-155.09,20.710000000000036,95,100,3.09,US,1707157775
92,margaret river,-33.95,115.0667,13.460000000000036,86,83,5.39,AU,1707157967
93,dukhan,25.4297,50.7858,17.730000000000018,60,99,4.77,QA,1707157967
94,marmolejo,38.0455,-4.1703,15.760000000000048,57,100,1.17,ES,1707157968
95,pandan,14.0453,124.1694,25.170000000000016,89,75,5.17,PH,1707157968
96,oyonnax,46.2592,5.6573,4.230000000000018,77,7,0.48,FR,1707157968
97,giado,31.9582,12.0203,12.460000000000036,41,0,1.57,LY,1707157969
98,shuangyashan,46.6361,131.1539,-21.47999999999999,93,45,2.34,CN,1707157969
99,asha,54.9973,57.2722,-1.009999999999991,95,100,4.47,RU,1707157969
100,theodore,30.5477,-88.1753,11.930000000000007,82,100,6.69,US,1707157969
101,paraiso,9.8383,-83.8656,27.27000000000004,35,6,3.02,CR,1707157969
102,petropavlovsk-kamchatsky,53.0452,158.6483,-11.669999999999959,77,75,4.02,RU,1707157969
103,harper,4.375,-7.7169,28.05000000000001,76,12,4.56,LR,1707157969
104,dudinka,69.4058,86.1778,-16.849999999999966,90,96,4.02,RU,1707157970
105,lompoc,34.6391,-120.4579,16.400000000000034,64,100,3.09,US,1707157970
106,dabat,12.9842,37.765,14.050000000000011,46,4,2.34,ET,1707157970
107,vila velha,-20.3297,-40.2925,29.970000000000027,78,20,6.69,BR,1707157970
108,sisimiut,66.9395,-53.6735,-18.569999999999965,77,2,5.87,GL,1707157971
109,rio rico,31.4715,-110.9765,20.170000000000016,34,0,0.0,US,1707157971
110,xining,36.6167,101.7667,-8.17999999999995,93,100,0.48,CN,1707157971
111,rudnya,54.947,31.0934,-7.3700000000000045,96,11,3.36,RU,1707157971
112,verkhnevilyuysk,63.4453,120.3167,-36.00999999999999,100,84,0.77,RU,1707157971
113,uliastay,47.7417,96.8444,-20.889999999999986,67,100,2.82,MN,1707157971
114,gadzhiyevo,69.2551,33.3362,-19.159999999999968,100,98,2.49,RU,1707157955
115,qaqortoq,60.7167,-46.0333,-18.659999999999968,70,0,2.11,GL,1707157972
116,cooper's town,26.8667,-77.5167,21.840000000000032,50,100,2.23,BS,1707157972
117,vilyuchinsk,52.9306,158.4028,-10.849999999999966,80,75,4.38,RU,1707157973
118,atafu village,-8.5421,-172.5159,28.430000000000007,80,100,11.29,TK,1707157973
119,yuzhno-kurilsk,44.0306,145.8556,-5.899999999999977,60,51,8.4,RU,1707157973
120,papatowai,-46.5619,169.4708,18.600000000000023,62,100,4.63,NZ,1707157974
121,mossel bay,-34.1831,22.146,22.960000000000036,89,23,3.6,ZA,1707157974
122,camberley,51.3371,-0.7426,11.590000000000032,74,75,7.72,GB,1707157974
123,neelankarai,12.9455,80.2575,27.260000000000048,74,20,1.54,IN,1707157975
124,jamestown,42.097,-79.2353,1.400000000000034,85,100,4.63,US,1707157833
125,yellowknife,62.456,-114.3525,-21.98999999999998,82,20,3.09,CA,1707157975
126,hadibu,12.65,54.0333,25.910000000000025,73,5,4.38,YE,1707157975
127,borgarnes,64.5383,-21.9206,-4.96999999999997,83,4,5.26,IS,1707157976
128,seven pagodas,12.6264,80.1722,27.27000000000004,78,0,3.14,IN,1707157976
129,escanaba,45.7453,-87.0646,7.360000000000014,81,0,2.06,US,1707157745
130,leksand,60.7339,15.0032,-5.189999999999998,98,12,0.74,SE,1707157976
131,novodvinsk,64.4165,40.8122,-20.67999999999998,99,74,2.01,RU,1707157977
